simulation_id,network_type,num_agents,old_theory_payoff,new_theory_payoff_if_old_true,new_theory_payoff_if_new_true,true_theory,belief_strength_range,converged,step,theory
1,complete,8,0.5,0.4,0.6,new,"(0.5, 2.0)",True,21,Old Theory
2,complete,8,0.5,0.4,0.6,new,"(0.5, 2.0)",True,21,Correct Theory
3,complete,8,0.5,0.4,0.6,new,"(0.5, 2.0)",True,18,Correct Theory
4,complete,8,0.5,0.4,0.6,new,"(0.5, 2.0)",True,23,Correct Theory
5,complete,8,0.5,0.4,0.6,new,"(0.5, 2.0)",True,37,Correct Theory
6,complete,8,0.5,0.4,0.6,new,"(0.5, 2.0)",True,1,Old Theory
7,complete,8,0.5,0.4,0.6,new,"(0.5, 2.0)",True,12,Correct Theory
8,complete,8,0.5,0.4,0.6,new,"(0.5, 2.0)",True,26,Correct Theory
9,complete,8,0.5,0.4,0.6,new,"(0.5, 2.0)",True,3,Old Theory
10,complete,8,0.5,0.4,0.6,new,"(0.5, 2.0)",True,20,Correct Theory
